iter	Passed	Remaining
549	4139	3386
550	4148	3380
551	4155	3372
552	4164	3365
553	4170	3357
554	4177	3349
555	4185	3342
556	4192	3334
557	4199	3326
558	4207	3319
559	4214	3311
560	4221	3303
561	4229	3295
562	4235	3287
563	4242	3279
564	4250	3272
565	4258	3264
566	4264	3256
567	4273	3250
568	4280	3242
569	4287	3234
570	4294	3226
571	4302	3219
572	4309	3211
573	4315	3202
574	4322	3195
575	4329	3187
576	4337	3179
577	4344	3172
578	4352	3164
579	4359	3157
580	4369	3150
581	4376	3143
582	4384	3136
583	4392	3129
584	4401	3122
585	4409	3115
586	4418	3108
587	4426	3101
588	4433	3093
589	4440	3085
590	4448	3078
591	4455	3070
592	4463	3063
593	4470	3055
594	4477	3047
595	4486	3040
596	4493	3033
597	4500	3025
598	4507	3017
599	4515	3010
600	4522	3002
601	4530	2994
602	4538	2988
603	4545	2980
604	4553	2973
605	4561	2965
606	4568	2957
607	4575	2949
608	4582	2942
609	4589	2934
610	4596	2926
611	4605	2919
612	4612	2911
613	4621	2905
614	4629	2898
615	4637	2891
616	4645	2883
617	4654	2877
618	4661	2869
619	4668	2861
620	4676	2854
621	4683	2846
622	4690	2838
623	4698	2831
624	4706	2823
625	4713	2815
626	4721	2808
627	4728	2801
628	4737	2794
629	4745	2786
630	4751	2778
631	4759	2771
632	4767	2764
633	4774	2756
634	4782	2749
635	4790	2741
636	4798	2734
637	4805	2726
638	4812	2719
639	4820	2711
640	4826	2703
641	4833	2695
642	4840	2687
643	4846	2679
644	4853	2671
645	4861	2663
646	4869	2656
647	4878	2650
648	4887	2643
649	4898	2637
650	4906	2630
651	4912	2622
652	4920	2614
653	4927	2606
654	4934	2598
655	4941	2591
656	4950	2584
657	4958	2577
658	4965	2569
659	4973	2562
660	4980	2554
661	4988	2546
662	4995	2539
663	5003	2531
664	5010	2524
665	5017	2516
666	5024	2508
667	5033	2501
668	5040	2493
669	5048	2486
670	5056	2479
671	5063	2471
672	5070	2463
673	5077	2455
674	5085	2448
675	5092	2440
676	5099	2432
677	5107	2425
678	5114	2418
679	5121	2410
680	5129	2402
681	5137	2395
682	5145	2388
683	5154	2381
684	5162	2373
685	5169	2366
686	5176	2358
687	5185	2351
688	5191	2343
689	5199	2335
690	5206	2328
691	5214	2320
692	5221	2312
693	5229	2305
694	5237	2298
695	5245	2290
696	5252	2283
697	5260	2275
698	5267	2268
699	5275	2261
700	5282	2253
701	5290	2245
702	5298	2238
703	5306	2231
704	5313	2223
705	5322	2216
706	5329	2208
707	5337	2201
708	5346	2194
709	5353	2186
710	5362	2179
