iter	Passed	Remaining
326	2508	8998
327	2515	8989
328	2524	8986
329	2533	8982
330	2540	8970
331	2547	8963
332	2555	8957
333	2563	8950
334	2570	8940
335	2578	8932
336	2586	8924
337	2592	8914
338	2602	8914
339	2611	8911
340	2621	8909
341	2631	8910
342	2640	8906
343	2649	8904
344	2659	8902
345	2669	8902
346	2678	8899
347	2686	8894
348	2697	8895
349	2705	8890
350	2713	8883
351	2720	8873
352	2727	8863
353	2735	8856
354	2744	8850
355	2751	8840
356	2765	8854
357	2773	8845
358	2779	8835
359	2787	8825
360	2793	8813
361	2800	8802
362	2807	8794
363	2814	8784
364	2821	8772
365	2827	8761
366	2835	8755
367	2842	8745
368	2850	8735
369	2858	8728
370	2866	8721
371	2872	8711
372	2883	8713
373	2891	8705
374	2898	8694
375	2905	8684
376	2911	8673
377	2919	8664
378	2926	8656
379	2934	8648
380	2942	8641
381	2950	8635
382	2958	8628
383	2967	8624
384	2975	8617
385	2983	8610
386	2990	8601
387	2999	8597
388	3007	8590
389	3016	8585
390	3023	8576
391	3032	8570
392	3039	8562
393	3047	8555
394	3055	8547
395	3062	8538
396	3070	8530
397	3077	8521
398	3084	8510
399	3090	8498
400	3098	8491
401	3106	8484
402	3114	8478
403	3121	8469
404	3129	8461
405	3137	8453
406	3144	8444
407	3151	8435
408	3159	8428
409	3166	8417
410	3173	8407
411	3180	8399
412	3188	8392
413	3197	8387
